Betweenness unDir,Bridging unDir,Centroid unDir,Closeness unDir,Degree unDir,Eccentricity unDir,EigenVector unDir,gene name,node type,Radiality unDir,score,Stress unDir
3.79300915,3.50503575,-2998,1.48E-04,4,0.25,0.004163726,MPC2,result,4.752156603,0.012566252,34
51.1548109,16.51738073,-2956,1.49E-04,10,0.25,0.005379582,CASR,result,4.766091573,0.012516358,698
1566.777047,67.32063307,-2875,1.50E-04,24,0.25,0.008405225,SNCAIP,result,4.792966158,0.011831764,23572
2312.689243,68.76645247,-2786,1.52E-04,31,0.25,0.010170461,EPB41L1,result,4.822495023,0.011542081,41314
6.98921654,17.55142913,-2973,1.48E-04,5,0.25,0.004609443,L3MBTL3,result,4.760451228,0.011257808,120
8447.562296,106.8439442,-2904,1.50E-04,27,0.25,0.006942639,PPP1R9B,result,4.783344393,0.010743905,91870
265.6197329,53.34531177,-2844,1.19E-04,8,0.2,0.001656287,KLK6,result,4.222295952,0.01061219,3502
2694.392316,69.02946895,-2907,1.50E-04,21,0.25,0.006126595,ITGB7,result,4.782349038,0.010280341,36202
4461.435008,93.95768386,-2935,1.49E-04,18,0.25,0.005422503,TOR1A,result,4.773059058,0.009800768,39348
42096.74712,40.86161314,-2479,1.60E-04,123,0.25,0.028411865,CAV1,result,4.924353019,0.009795939,476596
3053.214496,25.31197189,-2768,1.53E-04,59,0.25,0.018415579,AXIN1,result,4.828467153,0.011087836,52488
0,0,-2971,1.48E-04,2,0.25,0.003964487,BDH2,result,4.761114798,0.009581172,0
6.422442872,3.28853835,-2999,1.07E-04,5,0.2,4.34E-04,KCNJ9,result,3.905109489,0.009477575,188
148.6612376,24.57156511,-2816,1.52E-04,16,0.25,0.007360654,UBE2G1,result,4.812541473,0.00944442,3142
6508.34511,58.93805767,-2672,1.55E-04,50,0.25,0.014794222,ZAP70,result,4.860318514,0.009184446,109582
43.27100944,14.57830485,-2992,1.08E-04,6,0.2,5.28E-04,EXT1,result,3.928998009,0.008515028,480
5525.498981,86.99952419,-2689,1.55E-04,47,0.25,0.020661349,TRAP1,result,4.854678169,0.130461747,81266
3016.108098,96.51301563,-2884,1.50E-04,21,0.25,0.004856625,LRP8,result,4.789980093,0.008358307,42726
31.97845323,16.67014479,-2882,1.50E-04,14,0.25,0.009934593,BAG5,result,4.790643663,0.008268311,932
408.5249955,272.3707798,-2980,1.48E-04,7,0.25,0.00536857,MYO1F,result,4.758128733,0.008221139,6424
0,0,-3013,1.05E-04,1,0.2,1.77E-04,MTRF1,result,3.834439283,0.008160993,0
410.2310733,244.7469094,-2972,1.48E-04,7,0.25,0.004732647,SYT11,result,4.760783013,0.008103771,6324
142.1335687,61.82574554,-2994,1.48E-04,6,0.25,0.004163186,CISD1,result,4.753483743,0.008081003,4190
152.8424843,22.66440188,-2929,1.21E-04,12,0.2,0.003507432,ZNF746,result,4.255806238,0.007473124,2912
1282.730365,32.36377771,-2800,1.52E-04,39,0.25,0.01531753,MAP1B,result,4.817850033,0.007454268,25164
57.87275037,93.86357615,-2951,1.08E-04,4,0.2,2.46E-04,LCAT,result,3.920703384,0.007452312,914
1245.215722,24.74890238,-2864,1.51E-04,35,0.25,0.011089614,MARK4,result,4.796615793,0.007316701,21152
21101.36846,27.9086293,-2549,1.58E-04,134,0.25,0.038457063,TNFRSF1A,result,4.901128069,0.007307374,303532
187.8240194,26.43375533,-2956,1.19E-04,16,0.2,0.005350223,SENP8,result,4.214996682,0.007189376,4328
1.799066424,41.41340618,-2851,1.51E-04,4,0.25,0.005413558,ARPP19,result,4.800928998,0.007088117,148
0,0,-3005,1.47E-04,2,0.25,0.003581866,SLC18A2,result,4.749834107,0.007082798,0
566.8103736,162.1238881,-2948,1.49E-04,10,0.25,0.005610539,PDCD2,result,4.768745853,0.007050994,14880
2056.623999,236.9537022,-2908,1.50E-04,13,0.25,0.007278709,MARK1,result,4.782017253,0.006744926,16916
982.1224523,32.26367733,-2878,1.50E-04,25,0.25,0.010205813,AATF,result,4.791970803,0.006661573,14932
517.6887666,176.7015825,-2961,1.48E-04,10,0.25,0.007645015,STRBP,result,4.764432648,0.006659134,13760
57.66144321,7.67592862,-2937,1.49E-04,17,0.25,0.009248714,FBXO7,result,4.772395488,0.006469189,876
1597.34779,21.10480035,-2796,1.28E-04,41,0.25,0.010200964,ALK,result,4.407100199,0.006384214,33436
1977.73475,26.96319732,-2826,1.51E-04,37,0.25,0.012984923,CYCS,result,4.809223623,0.006369389,29610
55143.42483,73.67775528,-2897,1.17E-04,49,0.2,0.003381279,VKORC1,result,4.175514267,0.006194609,1794744
1416.64887,488.3356765,-2942,1.49E-04,9,0.25,0.004887523,COMT*KDG*,query,4.770736563,0.848368586,47032
151.7961212,35.47710705,-2844,1.51E-04,11,0.25,0.005906996,EFHD2,result,4.803251493,0.00612624,2438
5641.331435,58.72111199,-2676,1.55E-04,44,0.25,0.013140517,NOS3,result,4.858991374,0.006076548,99812
936.6052502,63.88325234,-2802,1.27E-04,20,0.2,0.007438166,MKKS,result,4.390510949,0.006074091,21106
104.0539084,40.36686519,-2891,1.50E-04,13,0.25,0.007393276,UBASH3A,result,4.787657598,0.006062544,4406
127.2896097,9.940479091,-2925,1.49E-04,17,0.25,0.006524758,TOMM22,result,4.776376908,0.006031561,1492
49658.52919,16.33331702,-2228,1.67E-04,293,0.25,0.083450698,HSP90AB1,result,5.007631055,0.006015598,996730
23734.5617,68.45253921,-2897,1.50E-04,38,0.25,0.007027866,ATP13A2,result,4.785666888,0.005734544,143102
329.1430192,137.7478576,-2981,1.48E-04,8,0.25,0.004884508,CHPF,result,4.757796948,0.005683564,5516
539.6585742,57.5035885,-2908,1.50E-04,16,0.25,0.006790819,SEPT4,result,4.782017253,0.005598728,10746
1293.380931,116.4749734,-2945,1.49E-04,16,0.25,0.007368068,KIF11,result,4.769741208,0.005584343,11594
0,0,-2876,1.18E-04,2,0.2,0.00139842,ATCAY,result,4.185136032,0.005548898,0
257.8761736,32.64214293,-2811,1.24E-04,13,0.2,0.003870424,SNCB,result,4.334439283,0.005519417,4462
3530.963595,70.99615417,-2903,1.50E-04,28,0.25,0.006950163,TOMM20,result,4.783676178,0.005488453,47710
6818.076159,27.17680548,-2723,1.54E-04,76,0.25,0.0222007,UBE2L3,result,4.843397478,0.005468582,109388
9.786078492,14.14148079,-2992,1.05E-04,3,0.2,1.66E-04,CFHR1,result,3.849037823,0.005455651,88
1869.435699,46.2580239,-2921,1.15E-04,18,0.2,0.002123931,LBP,result,4.115792966,0.049844319,21966
