gene name,Closeness unDir,Degree unDir,Eccentricity unDir,Radiality unDir
SNCA*KDG*,0.000189036,845,0.333333333,3.244857332
PARK2*KDG*,0.000192345,914,0.5,3.275049768
NTRK2,0.000191168,836,0.5,3.264432648
DRD2*KDG*,0.00017819,441,0.333333333,3.138022561
NTF3,0.000174216,311,0.333333333,3.095554081
AGO2,0.000175747,362,0.333333333,3.112143331
GPR37,0.000173943,295,0.333333333,3.092568016
TCP1,0.000169405,180,0.333333333,3.041473125
ADORA2A,0.000170911,199,0.333333333,3.058725946
MAOB*KDG*,0.000180278,516,0.333333333,3.159588587
CLU,0.000177494,423,0.333333333,3.130723291
NEFM,0.000176585,384,0.5,3.121101526
SCARB2,0.000179308,471,0.333333333,3.149635036
CCNG1,0.000172652,257,0.333333333,3.078301261
SUMO4,0.000166556,84,0.333333333,3.00796284
CDC5L,0.000172861,265,0.333333333,3.080623756
SRPK1,0.000181061,533,0.333333333,3.167551427
MYO1F,0.00017325,265,0.333333333,3.084936961
APOE*KDG*,0.000177999,446,0.333333333,3.136031851
PLTP,0.000169205,161,0.333333333,3.03915063
AXIN1,0.000176929,398,0.333333333,3.124751161
TRAP1,0.000169779,171,0.333333333,3.04578633
PSAP,0.000175039,327,0.333333333,3.104512276
GBA*KDG*,0.000169434,143,0.333333333,3.04180491
LAMP1,0.000168577,137,0.333333333,3.03185136
GLI3,0.000180083,497,0.333333333,3.157597877
MID2,0.000171028,192,0.333333333,3.060053086
NGF,0.000176056,359,0.5,3.115461181
IQSEC1,0.000182615,583,0.333333333,3.183145322
SORT1,0.000169434,142,0.333333333,3.04180491
LRPAP1,0.000172861,254,0.333333333,3.080623756
PARK7,0.000172325,255,0.333333333,3.074651626
CDK5,0.000172236,230,0.333333333,3.073656271
PACRG,0.000168407,102,0.333333333,3.02986065
CYP2C8,0.000178699,512,0.333333333,3.143331121
LAMP2,0.00017328,275,0.333333333,3.085268746
ARPP19,0.000169405,152,0.333333333,3.041473125
KIF11,0.00017325,265,0.333333333,3.084936961
ST13,0.00017135,212,0.333333333,3.063702721
TOMM20,0.000170707,189,0.333333333,3.056403451
MYO1D,0.000172206,232,0.333333333,3.073324486
CYP2C18,0.000172384,248,0.333333333,3.075315196
GRN,0.000175439,348,0.333333333,3.108825481
CHPF,0.000172295,234,0.333333333,3.074319841
TRIP13,0.000171116,196,0.333333333,3.061048441
TPPP,0.000169952,165,0.333333333,3.04777704
RAD1,0.000169377,145,0.333333333,3.04114134
CSNK1D,0.000172503,251,0.333333333,3.076642336
AATF,0.000175285,340,0.333333333,3.107166556
