gene name,Degree unDir,EigenVector unDir
S100A4,191,0.01031287404803159
FOXA1,387,0.02339831094848724
SOSTDC1,372,0.025325306129937834
CAV2,162,0.011097116885975176
SREBF1,121,0.007475970622768804
TRAF6,286,0.01671493225756771
MYLK,356,0.0236514626599001
TMEM8B,110,0.005962266003574464
LHCGR,530,0.03151396795470646
CSNK1E,414,0.02419846237075038
DNAJC4,143,0.007536748382565727
NTSR2,600,0.03364884445041536
SCAP,205,0.01140081625211734
ACTA1,256,0.014419535499660721
ADH1B,404,0.02461727446255249
STAU1,330,0.02137498543207391
PCYT1B,92,0.006218213203884554
FCGR1A,163,0.010504099388866536
NUCB2,265,0.016508102697797438
NRL,226,0.015077621097839063
RIMS2,289,0.020259292212476944
DYRK2,420,0.028640168463105325
PAFAH2,124,0.007742658053823856
EFEMP2,204,0.011102195716102705
ELAVL1,235,0.015425270371208364
CD40,363,0.024328023952703077
CDC34,125,0.00642808404300535
AGT,420,0.024306624518130246
SCAMP3,312,0.017295716957677672
SLC17A4,257,0.016316060912649307
CPNE6,328,0.02056169807364086
ASPA,238,0.014135367076268794
GK,240,0.015758287119614498
PIN1,279,0.014831257959836244
BAD,340,0.020890561379469944
SERPINF2,378,0.022773369757788018
RPL19,195,0.01037579862281668
AP4S1,372,0.025959429924495254
NDUFAF1,293,0.01688988191620629
STMN2,467,0.030905501807169968
MATN3,146,0.00876230219530872
PSD4,196,0.01227723486549412
GPR162,257,0.01452327917467191
PPP2R1A,217,0.011801951049929107
SNPH,139,0.00765756500776956
POFUT1,156,0.01126599389002141
CTH,448,0.02817055965348026
GNA13,201,0.01203158001686031
SYNGR2,161,0.007878552409949642
BZW1,535,0.03578998476873378
MAPK8,259,0.016674839594842283
PTPRN2,444,0.028146083598428746
KIAA0040,305,0.020059725191849606
SSTR4,302,0.01737625595712586
ZNF189,138,0.008091137446978413
IFNA10,356,0.022096069044396354
RPS6KA2,265,0.016654938363159802
COX5A,382,0.024256224313656816
CRISP3,177,0.01004186778679348
DACH1,546,0.03651690304851851
ZNF516,95,0.00544007242128173
CEP290,44,0.0026865674818388795
TFAP2B,381,0.02507394428552982
PSMD13,194,0.00892053971889382
STK10,398,0.024267850595516872
CA11,222,0.012695258204991108
SMR3B,232,0.01429442822327455
TNPO1,319,0.02244099748672165
AMT,297,0.01531530262723526
NDUFV1,215,0.011327989998752726
TM7SF2,174,0.009206213861327701
HSPD1,160,0.008520802874262427
KLK1,188,0.009670539649699912
PRDX6,328,0.019487162658415918
PARD6B,86,0.00553697705030609
SLC1A5,149,0.008025035906657225
CASK,242,0.016977570155579012
PMVK,124,0.005527602656346442
CDK18,171,0.010203243092033742
SPINT1,255,0.01563139995254746
HLA-DRA,372,0.021659640535571425
CD33,269,0.016235336143035867
LCN1,123,0.0063693085296465364
EI24,174,0.010936967853100433
GABRG2,337,0.021777732388884176
USP46,198,0.014188954375620412
ITPKB,531,0.035201415621981896
BFSP1,136,0.0071630024436314275
MYF5,230,0.01474880559076473
FCGR2A,172,0.010985603789138002
DENND4B,177,0.007994845567551402
C21orf2,158,0.009979979118601096
ARF1,352,0.02122989884428193
PCSK1,516,0.032109859328807215
KCNK3,292,0.01888602791096655
CYFIP2,539,0.036310576347891026
CD34,389,0.023657315916778263
SDHB,291,0.01705212262112754
SKIL,294,0.019829244713995487
HK2,178,0.011102931616472321
ITIH4,268,0.016523069164329746
CRABP2,206,0.012970888201817906
CHRNB1,120,0.006732593152787702
GRM8,221,0.014809340161105347
S100A5,161,0.008814484887600418
SPN,246,0.014251479955546724
KCNA5,390,0.02433606631572294
GRM4,564,0.037393048446937555
FTH1,146,0.0077788030390392076
DICER1,382,0.02578831664765012
SZT2,332,0.018713613163550313
TCF25,111,0.006045241456444604
IRAK1,203,0.010569643700736058
SKAP1,600,0.03964635476862775
RRAGB,160,0.010197400022917767
ACOX1,219,0.013986735117656903
CTNND2,759,0.04635002274295118
KLHL4,158,0.010694470861923138
MYO7A,229,0.01423880863036375
VTN,293,0.016660453956786603
FABP2,200,0.01266943185669004
PRKCE,589,0.03897704668193626
CYP11B1,202,0.01202993062908549
CYP24A1,245,0.015278537711735858
MYT1L,248,0.01716142704238429
COMP,207,0.012566423591886592
GPT,265,0.014573782503784612
BRINP1,157,0.010515955049602357
RIPK2,202,0.012158192947825372
WDR46,238,0.012003440331092803
IGFBP1,349,0.02122388848733351
FADS2,268,0.016471464371037966
GPC1,196,0.011726893781193282
AOAH,386,0.02096633888155869
THPO,176,0.011309080886932235
P2RX4,318,0.01894034448246222
NRIP1,360,0.02500190823136051
DSCR4,220,0.012531412432195547
S100A11,277,0.014034926100923663
AANAT,371,0.020207426313179646
ATP5A1,339,0.019137978120470328
CYP2A7,303,0.01703259114040689
CES2,229,0.013763289748754138
ELK1,127,0.00806344088326821
UBE2B,285,0.01867332974157881
SPTA1,398,0.024883584136159348
NF2,301,0.020049054411462545
ITPR1,432,0.028108705232581414
MNT,173,0.009808958757725526
AZU1,318,0.015626113957685418
PYGM,333,0.01773847336658949
SLC35A1,258,0.015422343671697319
MAPKAPK3,411,0.02616950735075646
LPL,194,0.012683376027700933
IQGAP1,390,0.025242655245749868
KLF9,415,0.027112005423082015
STX4,334,0.01938915437194827
MNDA,553,0.026773200903183966
CDH12,475,0.03313525577292703
CENPB,172,0.00895699125176374
CABIN1,220,0.013045111171760269
CHN1,353,0.02213033448993837
MTUS2,299,0.02018988270379548
FOLR2,180,0.010680904235687823
UBE2D1,352,0.020329220835928898
MS4A3,85,0.005282911087825544
CITED1,112,0.005632538886159204
MTTP,490,0.029688042240146595
GSTM5,291,0.018552376234372638
MUT,299,0.018351098089268877
IDH1,371,0.021209748607383512
DFFA,110,0.0055253829026507715
