gene name,Degree unDir,EigenVector unDir
BRCA1*KDG*,772,0.047804147
BRCA2*KDG*,610,0.038756196
PIK3CA*KDG*,717,0.036469677
NCOA3*KDG*,634,0.033272921
TP53*KDG*,845,0.042107878
RAD51*KDG*,454,0.029836245
NBN,244,0.015759883
RB1CC1*KDG*,583,0.034372874
H2AFX,467,0.03310424
CHEK2*KDG*,588,0.039006784
KDM1A,590,0.039078741
PIK3R3,322,0.017588815
EWSR1,375,0.026717361
MDC1,394,0.026597329
RBBP8,548,0.03899781
MDM2,521,0.030210067
RAD50,205,0.015282691
HSPA9,339,0.022301676
NFKBIA,320,0.015334666
CEBPB,307,0.01540222
PCNA,850,0.050546044
PPM1D*KDG*,404,0.026236196
TOPBP1,645,0.042860978
UNG,500,0.037456376
RAD51B,395,0.027346655
FAS,499,0.026063697
CHEK1,1001,0.057162836
MRE11A,490,0.033327608
CENPC,442,0.030113974
POU2F1,352,0.02034709
FANCG,459,0.03234031
CDK2,772,0.046232785
DMC1,194,0.015469695
UBE2L3,194,0.014038843
ATR,485,0.031030059
SHFM1,294,0.019679262
AP1B1,368,0.022269979
VCP,410,0.026686314
XBP1,184,0.010864375
FOXM1,541,0.038421436
TMF1,307,0.020072751
DSCAM,212,0.013848723
XRCC2,294,0.017978952
RAD9A,216,0.013007277
BLM,568,0.037520735
RECQL4,264,0.02156705
RNF14,164,0.009959514
HSPA1L,109,0.0065068
LIG4,330,0.020776261
CDC25C,321,0.023744349
ESPL1,310,0.025554754
TOP2A,608,0.041965401
PSMC3IP,266,0.022073516
FANCL,319,0.023790684
DNAJA1,398,0.026008199
CDC37,303,0.017741053
BCAP31,196,0.010731825
TGFB1I1,124,0.005880197
PDGFRB,306,0.014298847
PKLR,82,0.004860442
SLC9A3R2,142,0.007363181
FANCA,368,0.026848542
TNFAIP3,376,0.019845167
RAD51AP1,413,0.031528509
PTEN*KDG*,483,0.028169458
MAGI2,619,0.039559081
SMARCD3,120,0.006187212
FANCC,451,0.03000591
SOD1,295,0.018915767
EZH2,753,0.047383368
FANCI,407,0.032801706
PRKDC,452,0.033618884
CSF2RB,268,0.012111546
USP7,282,0.019711822
IKBKAP,297,0.020848892
ADIPOR2,193,0.012240695
SVIL,357,0.023905888
BAG1,211,0.012966291
ROCK1,327,0.021935564
PA2G4,324,0.023161398
UBE2I,394,0.02424041
FKBP4,240,0.016899865
PLAGL1,200,0.012032805
XRCC5,594,0.039495048
WRN,407,0.029259898
CREBBP,531,0.026980884
NCOA4,271,0.016426488
RAD51C,393,0.028393124
PRDX1,171,0.011131668
ATF1,439,0.029681461
NOL3,183,0.010004825
CDC25A,468,0.032948011
MKI67,615,0.043792735
KLK2,82,0.00354844
PRKAA2,314,0.019564456
SRY,49,0.003026996
RPA1,533,0.034218303
ZNF318,277,0.019275302
KDM3A,273,0.018452875
MAST2,205,0.014164772
FOXA1,208,0.012537721
CTDSP2,142,0.008309519
TNFRSF10B,211,0.011286289
HMMR,461,0.033890942
KAT7,358,0.022891482
TERF2,450,0.027026757
BACH1,301,0.018931471
RRM1,741,0.046794937
ZMIZ1,330,0.020984002
SMYD2,206,0.01376562
DLG1,431,0.027606392
APBB1,133,0.007095784
PRKAB1,225,0.0141974
MLH1,524,0.035436106
UBA3,328,0.021709693
CEBPD,302,0.017110777
FOXO1,385,0.021933521
DDB2,454,0.028731637
CFLAR,258,0.012009711
TRAF2,310,0.015410171
AP3B2,66,0.003268698
PGC,83,0.004349201
KDM4C,228,0.013663272
ESR1,578,0.031287881
E2F1,538,0.034436794
MSH2,785,0.05118015
HIP1,304,0.019447913
ECM1,77,0.002967202
CCNG2,401,0.024647454
RPA3,679,0.043673231
E2F4,305,0.019617192
AURKA,530,0.035316275
CSTF1,315,0.021096542
