Betweenness unDir,Bridging unDir,Centroid unDir,Closeness unDir,Degree unDir,Eccentricity unDir,EigenVector unDir,gene name,node type,Radiality unDir,score,Stress unDir
1809.778938,8.124199915,-1578,1.73E-04,246,0.333333333,0.016282946,MDN1,result,3.076642336,0.001904365,61668
596.6161443,11.52186444,-1748,1.68E-04,103,0.333333333,0.005695242,BAG5,result,3.020238885,0.003541854,19570
1881.738431,8.373400713,-1597,1.72E-04,235,0.333333333,0.012792162,MYL9,result,3.070338421,0.001890668,51962
3447.297253,8.840533069,-1534,1.74E-04,304,0.333333333,0.015661746,FLNA,result,3.091240876,0.031684415,92396
1795.93886,10.66317066,-1619,1.71E-04,203,0.333333333,0.011264002,LCAT,result,3.061048441,0.004602423,57200
2201.767022,8.202451148,-1551,1.73E-04,270,0.333333333,0.017116896,HSPA4,result,3.085600531,0.001889507,69786
6958.44955,8.241685214,-1362,1.79E-04,480,0.333333333,0.029615725,KCNJ3,result,3.148307896,0.006539898,214300
6155.265371,7.263721975,-1355,1.79E-04,495,0.333333333,0.031851442,CAMK2A,result,3.150630392,0.001870528,212756
2239.846622,10.94965632,-1604,1.72E-04,215,0.333333333,0.012692115,NTRK1,result,3.068015926,0.028541454,71456
2459.963799,8.78227582,-1555,1.73E-04,268,0.333333333,0.016259708,S100B,result,3.082614466,0.001827141,72248
5076.417494,10.66738455,-1496,1.75E-04,328,0.333333333,0.018674916,KLK6,result,3.102853351,0.003378813,165276
6581.84022,8.526025989,-1371,1.79E-04,458,0.333333333,0.029804679,DNAJA1,result,3.145321831,0.001815927,205002
1430.955254,9.378820157,-1617,1.71E-04,201,0.333333333,0.0120718,LITAF,result,3.063702721,0.008638496,41694
1834.550402,9.115180696,-1591,1.72E-04,228,0.333333333,0.014814317,UBE2L3,result,3.072329131,0.001780161,57064
7420.433018,11.76404635,-1458,1.76E-04,365,0.333333333,0.018302834,COMT*KDG*,query,3.116456536,0.83920099,195730
1933.591532,8.894649395,-1589,1.72E-04,239,0.333333333,0.014142232,FBXO7,result,3.072992701,0.003153162,63900
2018.815261,11.53562127,-1631,1.71E-04,192,0.333333333,0.008811805,AGPAT1,result,3.056735236,0.001769012,45078
24878.49263,10.04120362,-1116,1.87E-04,750,0.5,0.041293003,PINK1*KDG*,query,3.229927007,0.707613644,724980
3223.49063,8.643759323,-1502,1.75E-04,323,0.333333333,0.020065024,ACSL1,result,3.101857996,0.001740635,100752
2076.684438,8.758496969,-1572,1.73E-04,252,0.333333333,0.01439583,LBP,result,3.077637691,0.017622727,59110
591.12454,11.10730408,-1718,1.68E-04,110,0.333333333,0.006225438,SLC6A3,result,3.030192435,0.007197825,17348
3637.361366,9.217102028,-1538,1.74E-04,295,0.333333333,0.014498264,PPP1CA,result,3.089913736,0.001738732,107238
12793.02338,9.017511939,-1241,1.83E-04,598,0.333333333,0.036804812,NCOR2,result,3.188453882,0.001726074,395496
11065.51529,8.868135387,-1279,1.82E-04,562,0.5,0.0340812,HTT,result,3.175846052,0.002319675,354686
