gene name,Betweenness unDir,Stress unDir
SNCA*KDG*,30844.05102,1154556
PARK2*KDG*,27946.46641,886044
NTRK2,19413.30922,662480
DRD2*KDG*,8312.796612,294218
NTF3,3067.010637,99698
AGO2,3440.479664,118110
GPR37,3058.831968,93266
TCP1,909.1686061,28842
ADORA2A,1496.354302,62810
MAOB*KDG*,10811.90221,319042
CLU,5512.685546,174198
NEFM,3612.783852,131882
SCARB2,6018.583201,205738
CCNG1,2372.011719,73232
SUMO4,258.9267876,8124
CDC5L,1822.032479,63898
SRPK1,8610.563158,267894
MYO1F,3189.631911,99326
APOE*KDG*,8391.130515,226846
PLTP,1016.334479,25880
AXIN1,5296.499055,157614
TRAP1,1230.819245,31960
PSAP,4113.824954,119378
GBA*KDG*,720.795184,22722
LAMP1,654.1163913,17704
GLI3,7215.581638,233080
MID2,1207.749686,47014
NGF,3511.729841,123378
IQSEC1,9931.003901,319038
SORT1,612.5305566,19412
LRPAP1,2320.123231,72110
PARK7,2318.440209,62064
CDK5,2336.51538,79984
PACRG,325.1510939,13426
CYP2C8,5692.561617,189220
LAMP2,2282.276771,78846
ARPP19,643.6246804,21166
KIF11,2097.500578,69180
ST13,1383.315486,45424
TOMM20,1113.261008,36446
MYO1D,1763.195379,56324
CYP2C18,1625.437193,62000
GRN,4705.72,129688
CHPF,2498.780834,60672
TRIP13,1962.307358,52224
TPPP,815.8036619,26284
RAD1,546.1760133,19782
CSNK1D,2468.043942,80910
AATF,4182.11,145538
STXBP1,3734.446048,148464
MAPKAP1,7403.478856,236842
LRP8,1429.538707,50964
MDN1,1809.778938,61668
BAG5,596.6161443,19570
MYL9,1881.738431,51962
FLNA,3447.297253,92396
LCAT,1795.93886,57200
HSPA4,2201.767022,69786
KCNJ3,6958.44955,214300
CAMK2A,6155.265371,212756
NTRK1,2239.846622,71456
S100B,2459.963799,72248
KLK6,5076.42,165276
DNAJA1,6581.84022,205002
LITAF,1430.955254,41694
UBE2L3,1834.550402,57064
COMT*KDG*,7420.433018,195730
FBXO7,1933.591532,63900
AGPAT1,2018.815261,45078
PINK1*KDG*,24878.49263,724980
ACSL1,3223.49063,100752
LBP,2076.684438,59110
SLC6A3,591.12454,17348
PPP1CA,3637.361366,107238
NCOR2,12793.02338,395496
HTT,11065.51529,354686
FBP1,3644.47,107628
FKBP4,1403.647135,52456
CYB5R1,1540.523383,46140
MYL12B,881.5512436,23522
LIMS1,1665.08905,55902
APOC1,3354.194198,98196
MAP2K6,2003.750518,74554
MAPK12,333.3388118,10504
HSD17B4,4140.807753,133006
CYB5A,3634.184959,129592
HSP90AB1,2774.74306,83654
HP,3475.038648,114830
AADAC,4886.142083,152116
TMCC2,1186.835733,39854
HTRA2,1990.972789,53152
ITGB7,2165.881687,61552
CAPN2,2203.26565,69412
SLC6A2,938.5931062,34122
KCNJ6,5070.578014,179132
HTRA1,2325.652912,78610
DAPK1,15707.07312,483374
TTPA,7032.316032,225992
CFHR3,1485.823658,55480
CYP2D6*KDG*,3347.640443,151046
BST1*KDG*,24258.66122,701036
BDNF*KDG*,8372.608191,206206
HSPB6,1024.99,34684
ACE,2870.111378,84548
UBE2G1,1304.733031,41948
SCARB1,6333.503548,208088
EPB41L1,1828.321671,65680
DMTN,4840.998675,131004
FAH,6632.917353,227460
ZAP70,4126.602026,127646
MAPK11,1032.999417,32564
HMGCS1,1985.56744,60928
ACTG2,1232.257848,44696
VLDLR,3899.222469,121476
ESRRB,2744.345989,93832
CYP2C9,4917.954787,157970
TGM1,588.3834695,16082
RPS6KA3,1012.318065,34688
HSPA1A,1519.256679,41468
CDC37,3878.204392,112234
ART1,2078.421499,63880
SLC11A2,1234.520824,41130
CAV1,3563.120648,116330
SYT11,1567.988829,49350
RAD21,3569.730552,119888
SGK1,2399.761294,81630
TOMM40,4678.153952,138184
POR,1339.477394,34780
CKM,1946.948478,61536
USP9Y,295.3392403,9860
TYRO3,3713.551332,133016
RAI14,5339.566027,174710
MAP1B,6548.040554,230790
RPS6KA1,4832.32,139582
MAP2K3,1417.028488,40118
TNFRSF1A,3437.743516,101046
SYN1,1409.072695,47316
CYB5R3,1076.034368,29244
AP1B1,7475.520463,222550
MARCH2,2253.201553,60878
MYL6,643.1572931,18030
CAPZA2,3128.77,104352
LECT2,15370.42854,533946
IDI1,4291.615379,128536
MPC2,1993.29406,58994
LRP2,892.6703734,33806
SLC1A2,3713.235947,128122
PAWR,1020.467637,34898
NR5A2,3810.347623,134464
KCNAB1,7300.215978,254246
SERPINB10,3067.028664,95752
RALYL,487.6046731,14792
TUBA1A,4154.502567,130602
PSEN1,2462.961012,72730
IRS4,3006.124478,98940
KCNJ5,1487.514534,45912
RELN,11416.49944,353690
CASR,1831.686597,60222
NOS3,2013.853242,55472
DLG4,2580.365031,81182
RB1CC1,4325.29474,137468
ATP6V1E1,8558.76,273608
UBE2M,1093.970107,33954
ILK,5763.597268,151294
ELOVL6,9611.16,329252
FADS1,1266.877743,40028
DHCR7,1618.96648,45028
APOC3,2375.874914,83612
NTRK3,9476.247432,308072
SIM2,1176.51,42538
FOXG1,10285.65791,341390
KCNJ9,2242.94,69982
GSK3A,7796.809524,243478
DNAJB1,1214.627622,38414
ABHD14A,4429.8478,128966
ATP6V1B1,2494.73348,59196
SNCB,5846.674443,174428
POLR1C,305.5383882,9772
SOD1,10453.68425,321926
SAP18,1505.704781,46696
TOR1A,1375.617691,39690
BCAS1,1886.691882,60252
IFIT5,838.4017855,27984
IFIT3,2413.390372,70802
SHOX,4898.08,188414
COPS8,6073.81904,215120
MFN2,1792.690927,54230
YWHAH,7319.368475,225500
EYA1,5737.41,204080
ASGR2,4541.591014,141380
PROC,6869.883299,234654
SLC2A2,8902.2,324244
DOK1,1262.222512,43262
KLKB1,3796.927059,127180
GNMT,1788.108626,55132
SIAH2,3214.417283,95836
ENSA,1136.423559,38166
HTR2C,1506.297773,50120
PON1*KDG*,11135.49864,343158
ARR3,2473.57412,73498
HAAO,7287.340088,231738
MKL1,628.9635711,19514
RPS6KA5,2382.505757,88562
CYCS,1254.725482,36858
PRKCD,3824.219048,114022
PKN1,1210.025569,32600
CBS,4805.177499,169954
ENTPD2,665.1349088,20026
NDP,1947.018848,62706
AKR1C4,6878.745247,244790
RGN,2190.576846,65380
AASS,3174.342155,111796
ALDH2,5025.775602,161658
MYO1B,3385.345522,124454
SEPT4,3114.292443,87344
PRPS1,1067.903668,34656
C9,5038.620223,153536
OGT,703.5948204,23144
DRP2,3643.439144,125416
NFIX,4233.017974,126318
CHI3L1,1198.320576,42312
RGS2,3266.151285,103890
PDK2,1891.966104,70388
ATP6V0D1,3762.725226,104042
PTN,3562.914162,127840
APP,39068.03774,1177408
NGFR,5325.557487,185562
CSNK1A1,2942.967238,98876
EFNB3,999.1756544,36492
VDAC2,1833.949645,57590
DVL1,1924.458291,50782
AKT2,1886.601674,59992
PRKACA,1334.940558,40296
PITX3,1172.316968,36146
BAG1,3098.311545,107772
SCP2,10360.46,346630
