gene name,Betweenness unDir,Bridging unDir,Centroid unDir,Closeness unDir,Degree unDir,Eccentricity unDir,EigenVector unDir,Radiality unDir,Stress unDir
SLC9A3R2,513.2474491,6.280797754,-594,2.56E-04,142,0.333333333,0.007363181,3.061569017,15196
FANCA,1793.669396,4.419808703,-395,2.70E-04,368,0.333333333,0.026848542,3.160873883,75554
TNFAIP3,2455.66215,4.891656392,-397,2.70E-04,376,0.333333333,0.019845167,3.159880834,90326
RAD51AP1,1283.691712,2.719730167,-365,2.72E-04,413,0.333333333,0.031528509,3.175769613,82382
PTEN*KDG*,4494.896351,5.466607841,-295,2.77E-04,483,0.333333333,0.028169458,3.210526316,170430
MAGI2,7641.741995,5.687005233,-135,2.90E-04,619,0.333333333,0.039559081,3.289970209,291850
SMARCD3,593.5535181,8.449643304,-611,2.55E-04,120,0.333333333,0.006187212,3.053128103,17890
FANCC,3606.418443,5.391509556,-316,2.76E-04,451,0.333333333,0.03000591,3.200099305,137956
SOD1,1911.928389,6.030712653,-446,2.66E-04,295,0.333333333,0.018915767,3.135551142,75060
EZH2,5192.221393,3.209731047,-135,2.90E-04,753,0.5,0.047383368,3.289970209,252728
FANCI,1931.89,4.097447071,-339,2.74E-04,407,0.5,0.032801706,3.188679245,96270
PRKDC,1873.407203,3.558818418,-336,2.74E-04,452,0.5,0.033618884,3.190168818,102908
CSF2RB,1287.940783,4.57185869,-497,2.63E-04,268,0.333333333,0.012111546,3.110228401,41126
USP7,1440.692057,5.595927468,-460,2.65E-04,282,0.333333333,0.019711822,3.128599801,57750
IKBKAP,1269.863588,4.734521474,-446,2.66E-04,297,0.333333333,0.020848892,3.135551142,59434
ADIPOR2,799.6217185,6.024878896,-537,2.60E-04,193,0.333333333,0.012240695,3.090367428,29572
SVIL,2201.136262,5.346515734,-380,2.71E-04,357,0.333333333,0.023905888,3.168321748,95094
BAG1,961.74979,6.08106412,-522,2.61E-04,211,0.333333333,0.012966291,3.097815293,33506
ROCK1,1517.329122,4.663037578,-417,2.68E-04,327,0.333333333,0.021935564,3.149950348,72706
PA2G4,1327.222384,4.445677325,-429,2.68E-04,324,0.333333333,0.023161398,3.143992056,64164
UBE2I,2385.206352,4.841151907,-387,2.71E-04,394,0.5,0.02424041,3.164846077,107234
FKBP4,886.7948174,4.887930164,-498,2.63E-04,240,0.333333333,0.016899865,3.109731877,37600
PLAGL1,825.3762589,5.897072789,-528,2.61E-04,200,0.333333333,0.012032805,3.094836147,31724
XRCC5,3717.862918,3.730092855,-225,2.83E-04,594,0.333333333,0.039495048,3.245283019,188482
WRN,1517.934323,3.38261851,-375,2.71E-04,407,0.333333333,0.029259898,3.170804369,85462
CREBBP,3762.071326,4.058813336,-309,2.76E-04,531,0.333333333,0.026980884,3.203574975,140322
NCOA4,1544.345008,5.852423828,-464,2.65E-04,271,0.333333333,0.016426488,3.126613704,59424
RAD51C,1990.119191,4.295539275,-368,2.72E-04,393,0.5,0.028393124,3.17428004,95330
PRDX1,517.4464869,5.321806395,-563,2.58E-04,171,0.333333333,0.011131668,3.077457795,20332
ATF1,2831.410154,4.750635536,-319,2.76E-04,439,0.333333333,0.029681461,3.198609732,128994
NOL3,825.1506519,6.320007386,-555,2.59E-04,183,0.333333333,0.010004825,3.08142999,25120
CDC25A,1797.836017,3.179102806,-341,2.74E-04,468,0.5,0.032948011,3.187686197,96534
MKI67,4942.069515,4.530109205,-177,2.87E-04,615,0.333333333,0.043792735,3.269116187,224040
KLK2,222.7910047,6.388311285,-662,2.52E-04,82,0.333333333,0.00354844,3.026315789,6428
PRKAA2,1581.504471,4.574296592,-440,2.67E-04,314,0.333333333,0.019564456,3.138530288,58604
SRY,67.11073424,6.976315125,-693,2.49E-04,49,0.333333333,0.003026996,3.006951341,2006
RPA1,2645.118893,3.327478278,-303,2.77E-04,533,0.333333333,0.034218303,3.206554121,131250
ZNF318,1327.628354,5.399286105,-461,2.65E-04,277,0.333333333,0.019275302,3.128103277,57224
KDM3A,1319.540157,5.385487661,-460,2.65E-04,273,0.333333333,0.018452875,3.128599801,55068
MAST2,669.5230829,4.939173887,-531,2.60E-04,205,0.333333333,0.014164772,3.093346574,25862
FOXA1,1006.506446,5.942418169,-527,2.61E-04,208,0.333333333,0.012537721,3.095332671,33330
CTDSP2,400.4876275,5.75021321,-584,2.57E-04,142,0.333333333,0.008309519,3.06653426,15860
TNFRSF10B,774.3775797,4.759377049,-542,2.60E-04,211,0.333333333,0.011286289,3.087884806,26416
HMMR,1433.450219,2.541873116,-337,2.74E-04,461,0.333333333,0.033890942,3.189672294,92074
KAT7,2575.746873,5.787922867,-386,2.71E-04,358,0.333333333,0.022891482,3.165342602,99058
TERF2,3637.052483,5.250806062,-329,2.75E-04,450,0.333333333,0.027026757,3.193644489,154534
BACH1,1616.463976,5.217364383,-445,2.66E-04,301,0.333333333,0.018931471,3.136047666,64720
RRM1,4671.246847,3.093189544,-156,2.89E-04,741,0.333333333,0.046794937,3.279543198,233380
ZMIZ1,1994.104482,5.485827342,-414,2.69E-04,330,0.333333333,0.020984002,3.151439921,80438
SMYD2,1009.872183,6.705946031,-521,2.61E-04,206,0.333333333,0.01376562,3.098311817,39738
DLG1,3390.886843,5.322250396,-318,2.76E-04,431,0.333333333,0.027606392,3.199106256,135410
APBB1,490.754243,6.531339867,-599,2.56E-04,133,0.333333333,0.007095784,3.05958292,14068
PRKAB1,975.3887203,5.46440044,-515,2.62E-04,225,0.333333333,0.0141974,3.101290963,37370
MLH1,3851.876157,4.522494121,-266,2.80E-04,524,0.333333333,0.035436106,3.224925521,167732
UBA3,1686.359625,4.767776585,-404,2.69E-04,328,0.333333333,0.021709693,3.156405164,79016
CEBPD,1719.123055,5.284632308,-450,2.66E-04,302,0.333333333,0.017110777,3.133565045,64612
FOXO1,2207.932585,4.612918243,-382,2.71E-04,385,0.333333333,0.021933521,3.167328699,93612
DDB2,3682.27888,5.374893098,-314,2.76E-04,454,0.333333333,0.028731637,3.201092354,138176
CFLAR,1004.08,4.132600825,-512,2.62E-04,258,0.333333333,0.012009711,3.102780536,36438
TRAF2,1839.773369,5.185100298,-471,2.64E-04,310,0.333333333,0.015410171,3.122641509,57066
AP3B2,134.0367689,7.004651318,-668,2.51E-04,66,0.333333333,0.003268698,3.025322741,3520
PGC,191.6672498,6.286150641,-650,2.52E-04,83,0.333333333,0.004349201,3.03326713,5478
KDM4C,1335.471414,6.757350826,-500,2.62E-04,228,0.333333333,0.013663272,3.108242304,43408
ESR1,5121.736248,4.284680651,-253,2.81E-04,578,0.333333333,0.031287881,3.231380338,186840
E2F1,3232.842459,3.82957633,-294,2.78E-04,538,0.5,0.034436794,3.21102284,148514
MSH2,6743.293,3.77618531,-75,2.96E-04,785,0.5,0.05118015,3.319761668,322710
HIP1,1834.046189,5.65530083,-436,2.67E-04,304,0.333333333,0.019447913,3.140516385,69998
ECM1,416.9502225,10.2024869,-664,2.51E-04,77,0.333333333,0.002967202,3.022343595,10262
CCNG2,2742.896117,5.083575337,-359,2.73E-04,401,0.333333333,0.024647454,3.178748759,111898
RPA3,5659.97,4.095729616,-158,2.88E-04,679,0.5,0.043673231,3.278550149,251384
E2F4,1236.925719,4.426805014,-459,2.65E-04,305,0.333333333,0.019617192,3.129096326,53404
AURKA,2336.016223,3.110521166,-296,2.77E-04,530,0.333333333,0.035316275,3.210029791,124720
CSTF1,1153.008938,3.895776119,-452,2.66E-04,315,0.333333333,0.021096542,3.132571996,53206
GDF15,846.6590968,6.48660432,-543,2.60E-04,187,0.333333333,0.011805048,3.087388282,28128
PTK2B,2672.214122,4.425939966,-354,2.73E-04,432,0.333333333,0.024054842,3.18123138,108828
ELAVL1,2687.694155,3.99810026,-297,2.77E-04,487,0.333333333,0.033573949,3.209533267,136268
CCNE1,1311.938538,4.245301551,-447,2.66E-04,324,0.333333333,0.022135245,3.135054618,57082
EP300,7298.382574,4.311978056,-186,2.86E-04,686,0.333333333,0.035821779,3.264647468,326490
RIPK1,1966.281485,3.8731563,-417,2.68E-04,390,0.333333333,0.019772157,3.149453823,75452
TERF1,1509.611933,5.364189378,-458,2.65E-04,288,0.333333333,0.018513171,3.12959285,62442
TP53I3,674.866932,7.782116843,-584,2.57E-04,144,0.333333333,0.008359381,3.067030785,21582
TK1,2205.225822,2.858807311,-300,2.77E-04,522,0.333333333,0.035561025,3.208043694,118046
PDGFB,497.0551232,4.919007503,-563,2.58E-04,172,0.333333333,0.010273973,3.077457795,20086
HRAS,2187.33727,5.956214765,-445,2.66E-04,313,0.333333333,0.017028787,3.136047666,69230
TRIM22,1941.131794,4.788072724,-419,2.68E-04,337,0.333333333,0.017890681,3.148957299,73634
STAT1,2421.239959,4.347150866,-403,2.69E-04,399,0.333333333,0.01925024,3.156901688,85578
EI24,735.4831909,5.962127016,-532,2.60E-04,192,0.333333333,0.014354967,3.09285005,28254
BARD1*KDG*,9937.052645,3.946653253,17,3.02E-04,910,0.5,0.055198108,3.357000993,430200
RARG,267.4752582,4.665868806,-612,2.55E-04,125,0.333333333,0.006716738,3.053128103,9860
FOXO3,1142.093036,4.610596948,-479,2.64E-04,277,0.333333333,0.016154647,3.119165839,48976
AKR1B1,573.5038207,5.421732942,-555,2.59E-04,178,0.333333333,0.012598762,3.08142999,22026
TYMS,1667.252751,3.593405465,-345,2.74E-04,411,0.333333333,0.03297624,3.185700099,89494
HIPK1,3449.797882,4.442845217,-258,2.80E-04,507,0.333333333,0.033831832,3.228897716,166538
TFF1,180.8850243,6.438551972,-664,2.52E-04,78,0.333333333,0.003892803,3.026315789,4754
XRCC3,1029.123062,7.317835136,-542,2.60E-04,190,0.333333333,0.011665666,3.087884806,30444
RAD54L,2027.207267,3.667449486,-330,2.75E-04,436,0.333333333,0.03301062,3.193147964,103356
SIVA1,170.0485588,3.798463967,-597,2.56E-04,130,0.333333333,0.011436272,3.060575968,9306
NR2C2,2734.739945,5.37120624,-356,2.73E-04,396,0.333333333,0.025429585,3.180238332,110314
SUMO1,5503.971063,4.527403675,-193,2.86E-04,627,0.5,0.039834198,3.261171797,254388
EEF1E1,1197.688906,4.304287818,-457,2.66E-04,301,0.333333333,0.020376794,3.130089374,54796
TPX2,2567.641813,2.713014195,-240,2.82E-04,584,0.333333333,0.040631143,3.237835154,152978
NUP188,570.905466,5.755690177,-560,2.58E-04,172,0.333333333,0.012419075,3.078947368,22628
FADD,1149.680341,4.470211894,-505,2.62E-04,271,0.333333333,0.013998845,3.106256207,40922
SUB1,200.0638499,4.445135328,-601,2.56E-04,127,0.333333333,0.010284077,3.058589871,11266
TRIM28,7608.588473,5.128661282,-149,2.89E-04,658,0.333333333,0.039049837,3.283018868,280430
CARM1,1753.812541,6.061031569,-457,2.66E-04,284,0.333333333,0.016389357,3.130089374,62212
ABCC3,813.0698303,6.546595086,-541,2.60E-04,185,0.333333333,0.011463288,3.088381331,28812
GSN,1724.291444,5.492503348,-437,2.67E-04,304,0.333333333,0.019252969,3.140019861,68746
BAP1,1789.909313,7.387084347,-483,2.64E-04,243,0.333333333,0.013878907,3.117179742,56360
PEG3,57.4283605,7.923229169,-707,2.48E-04,39,0.333333333,0.002297339,3.000496524,1560
EEF1A2,1388.524004,5.652610758,-469,2.65E-04,268,0.333333333,0.017309536,3.124131082,69584
PKMYT1,1815.399744,3.920391627,-357,2.73E-04,402,0.333333333,0.029779145,3.179741807,87396
STK11*KDG*,3931.865841,5.067313054,-342,2.74E-04,452,0.333333333,0.024972033,3.187189672,133270
AQP1,884.0691728,6.230351314,-528,2.61E-04,198,0.333333333,0.013057697,3.094836147,33280
S100B,417.2912552,6.64555493,-605,2.55E-04,123,0.333333333,0.006962648,3.056603774,14592
AR*KDG*,4955.824012,4.313922056,-377,2.71E-04,500,0.333333333,0.020156607,3.169811321,201390
TRIM24,2670.97,5.058940301,-355,2.73E-04,409,0.333333333,0.027549316,3.180734856,111792
NUP133,2718.91,4.686644382,-331,2.75E-04,432,0.333333333,0.029308657,3.19265144,121696
PLK1,4600.700779,3.549242285,-176,2.87E-04,681,0.5,0.044140689,3.269612711,221620
CCND1,1676.696477,5.135198762,-457,2.66E-04,314,0.333333333,0.017801308,3.130089374,58824
APPBP2,392.7693143,4.706127039,-574,2.58E-04,161,0.333333333,0.010263814,3.071996028,17788
GML,209.9025355,9.712866665,-670,2.51E-04,61,0.333333333,0.003274015,3.023833168,7234
RCHY1,566.0987658,5.14924339,-549,2.59E-04,182,0.333333333,0.011768237,3.084409136,23524
EBAG9,290.9604752,5.546838359,-613,2.55E-04,122,0.333333333,0.008336225,3.052631579,11902
MAP4,1380.640156,6.162018525,-471,2.64E-04,256,0.333333333,0.016932976,3.122641509,52952
VCAN,891.689789,6.697124313,-543,2.60E-04,181,0.333333333,0.010833636,3.087388282,29888
ALDH1A3,338.5840372,6.212564566,-627,2.54E-04,112,0.333333333,0.005382393,3.043694141,9970
GINS1,2269.013237,2.317548484,-248,2.81E-04,594,0.5,0.040361663,3.233862959,142718
PATZ1,764.2453012,5.510678619,-529,2.61E-04,206,0.333333333,0.013536897,3.094339623,30348
LITAF,537.6991554,6.667864543,-583,2.57E-04,142,0.333333333,0.007672702,3.06653426,16380
TYRP1,3007.18,6.551614301,-395,2.70E-04,342,0.333333333,0.020882434,3.160873883,95776
XIAP,1742.37,5.355865041,-451,2.66E-04,307,0.333333333,0.018318839,3.13306852,64226
ILK,2872.096935,5.103052121,-364,2.72E-04,401,0.333333333,0.024139161,3.176266137,106066
PLEC,262.5792326,5.383608325,-617,2.55E-04,118,0.333333333,0.006887465,3.050148957,10036
HMGN2,1730.735073,4.411494242,-402,2.69E-04,364,0.333333333,0.025249776,3.157398213,78402
MYC,4546.551121,4.296078441,-258,2.80E-04,585,0.333333333,0.033398701,3.228897716,178386
CCNG1,2581.066274,5.510925523,-380,2.71E-04,373,0.333333333,0.023163493,3.168321748,98646
APCS,1112.276377,7.725304898,-544,2.59E-04,184,0.333333333,0.010731856,3.086395233,34886
CASP8*KDG*,6300.3,4.418596558,-231,2.82E-04,621,0.333333333,0.029855554,3.242303873,210816
HOXB13,1422.682739,6.916160105,-523,2.61E-04,213,0.333333333,0.012089865,3.097318769,46472
CDC45,1414.468834,2.458704285,-355,2.73E-04,449,0.333333333,0.031220408,3.180734856,85446
MTOR,2597.543934,4.673269297,-378,2.71E-04,409,0.333333333,0.023165601,3.169314796,114984
CASP9,908.3650996,5.558260379,-536,2.60E-04,216,0.333333333,0.012179732,3.090863952,31422
ZWINT,6540.581975,3.099833282,-77,2.95E-04,857,0.5,0.051683418,3.31876862,318178
BUB1B,4028.428232,2.936571788,-179,2.87E-04,702,0.333333333,0.044996324,3.268123138,216746
KAT5,2001.450567,5.800264747,-427,2.68E-04,318,0.333333333,0.020349462,3.144985104,84352
RNF4,7490.187579,5.131895458,-124,2.91E-04,662,0.5,0.041293421,3.295431976,297832
SPC25,834.5242694,1.637139421,-387,2.71E-04,437,0.333333333,0.029983553,3.164846077,61828
CLTC,2900.153081,5.21410629,-355,2.73E-04,405,0.333333333,0.024696936,3.180734856,115222
CCNA2,3617.850735,2.472850549,-192,2.86E-04,738,0.5,0.044557887,3.261668322,198820
UBE2D3,1326.971797,4.431460663,-441,2.67E-04,312,0.333333333,0.020519165,3.138033764,62292
BAI1,551.128749,9.202056988,-622,2.54E-04,107,0.333333333,0.005017748,3.047666336,11260
RUNX2,259.1526648,6.052654837,-628,2.54E-04,106,0.333333333,0.00632257,3.04468719,11832
MEN1,1965.848451,5.577996451,-418,2.68E-04,324,0.333333333,0.021067094,3.149453823,75062
POLE2,1327.087369,2.387838208,-344,2.74E-04,453,0.333333333,0.033595024,3.186196624,88878
TTK,6888.546049,3.84237128,-59,2.97E-04,793,0.5,0.05324529,3.327706058,344470
SP1,5713.635125,4.92734352,-230,2.83E-04,587,0.5,0.032617312,3.242800397,211354
BCL2L1,885.5102076,4.67137182,-527,2.61E-04,232,0.333333333,0.013018658,3.095332671,31974
MDM4,4415.690673,5.094182,-259,2.80E-04,511,0.5,0.03082239,3.228401192,180082
NR0B1,151.1428516,4.641647637,-654,2.52E-04,90,0.333333333,0.004906432,3.032274081,4526
NTHL1,1136.176674,5.939659555,-495,2.63E-04,236,0.333333333,0.015419088,3.11122145,43658
GAMT,222.8874595,6.460748798,-637,2.53E-04,96,0.333333333,0.006227744,3.040218471,6966
S100A7,202.5097966,8.86213131,-667,2.51E-04,67,0.333333333,0.003220247,3.023833168,5714
INPP4A,1050.780968,5.776178422,-502,2.62E-04,233,0.333333333,0.015114719,3.10774578,43094
