gene name,Betweenness unDir,Stress unDir
POLE2,1327.087369,88878
TTK,6888.546049,344470
SP1,5713.635125,211354
BCL2L1,885.5102076,31974
MDM4,4415.690673,180082
NR0B1,151.1428516,4526
NTHL1,1136.176674,43658
GAMT,222.8874595,6966
S100A7,202.5097966,5714
INPP4A,1050.780968,43094
NCAPH,1520.021801,90294
CSNK2B,2303.19359,93906
PRKAA1,1813.600667,81372
AP3B1,1855.371401,76948
MCM3,5384.631759,269758
MADD,1347.776386,36946
TAOK2,245.0631791,11392
GATA3,4457.42559,172238
CREB1,3473.2985,144800
DYRK2,4401.411552,188306
RELA,3301.937262,119400
MELK,5402.926263,266026
SMC2,2777.81,152296
SUMO2,5943.679507,259428
TPT1,537.8908367,18556
XRCC6,2206.258869,98050
MSH6,2468.616971,123296
SMAD3,2676.475578,101320
AGAP2,584.4645231,20360
SIK2,2396.273807,104070
SMG1,4352.284017,185776
IRF5,810.3126033,27156
DEDD,329.3751053,11810
CENPE,2567.471082,143556
CDK1,5608.37,284184
PIK3C2A,2999.181004,119004
CDK4,4793.207587,217526
HIPK3,1670.441766,75874
TP63,912.6568483,33142
PLK4,2557.663927,140612
DDX5,2005.256096,93018
IKBKG,975.9203483,33716
PIAS1,4295.51,185042
MCM6,3484.389217,189914
RARB,809.5589768,30522
BNIP3L,1194.93753,45640
TNFSF10,1443.296539,49556
EPB41L1,787.0438729,29376
DHFR,1059.911446,71076
STAT6,1122.917174,38020
INPP4B,1669.437481,63164
CEBPZ,2742.693111,118620
LIG1,2425.248591,105666
CHAF1B,1950.706399,90224
PML,1755.892331,71642
MAPKAPK5,1672.52266,80710
CDKN2A,1404.640144,55338
CDC6,3864.126295,208768
XRCC4,1782.542641,80042
KIF11,3844.240019,219938
DLGAP5,2141.969345,133170
KNTC1,2510.114469,118798
MYB,1889.363111,75682
TOPORS,2211.54,103128
NUFIP1,902.4242526,43874
SERPINB5,337.7480288,9506
HIC1,385.5373413,9228
HSPA1A,782.1600583,28982
KIF14,2407.786265,123456
CD79A,991.8048952,39170
FAIM3,807.6067185,28416
RFC3,8670.702258,383196
CASP1,1489.003927,47674
AIF1,650.404672,21142
IGFBP3,639.9358854,24256
FOLH1,1682.44713,62634
GAPDH,2153.604487,97596
WEE1,3043.332001,150780
BIRC5,958.7709006,62200
TRAT1,613.2579673,22568
LCP1,2356.956847,94484
CEBPA,3305.415562,117696
KAT2B,2096.523372,84602
MUC1,5420.124932,218916
MAPK14,6668.212115,292452
KIF23,3485.08521,176462
TNFRSF10C,315.4599218,8700
SPDEF,345.2429835,11308
CAV1,1493.518971,59338
OIP5,5440.040337,243128
FDXR,1013.389277,29214
POLA1,3046.879407,152646
CD28,1119.441429,40442
IFNB1,328.1861121,11308
MCM2,4143.11,210812
ERG,3092.513803,134272
EHMT2,1248.395772,48384
REPS2,523.4381053,23720
RPA2,3019.886352,126288
CASP3,2888.796678,125106
CTSD,719.3827496,24726
SPP1,1471.981968,62040
EPHB4,727.0260205,23454
EXO1,1814.246063,100144
FASLG,1284.481738,48194
TAP1,595.6199642,20532
ETS2,1173.422791,45452
PIK3R1,9930.036133,355234
TRIAP1,1400.257281,52260
DAP3,945.5205577,36940
RFC4,3273.836191,209938
ZMIZ2,479.5027454,17028
BBC3,515.0594491,14822
PIP5K1A,2285.357557,93570
CCNB1,3892.72902,212666
MAP2K7,835.3359833,32120
CDKN3,2135.187373,108466
PCBP4,243.9106794,4986
KIF20B,3013.582762,149534
USF2,1273.472031,42916
MLH3,271.1996937,10194
FLNA,1568.411929,52086
RRM2,1314.75627,74090
GATA4,424.3190512,13620
PAWR,639.3127895,29808
CDC20,6204.883069,289254
IKBKB,1900.70751,83420
CCNF,729.9951124,37352
MAD2L1,5052.362341,257460
NCOA1,3332.673958,129344
MBD4,669.1054736,33360
MSH4,304.1817978,10606
HSP90B1,356.2007266,15546
AKT1,3933.556285,159846
TIMELESS,676.8023471,42218
GPX1,1203.289483,32522
BTG2,739.3192147,22744
HMGB1,4921.626699,206932
BIRC3,3364.31579,119004
MAP3K5,3642.02416,138852
LMNB1,3154.090436,168232
KIAA0101,3340.350997,168050
TAF5,1666.303174,86736
MED1,2133.458161,102274
PTTG1,2581.08423,118692
PRMT1,2818.3979,128696
SH2D1A,1507.566053,54264
TXK,2247.858601,86788
PMAIP1,1280.625441,50512
NRIP1,2310.704301,88902
TMEM194A,1424.639956,85856
RBL1,2247.832997,112906
RAD52,1472.485285,59244
PIAS4,647.7518438,23738
PIKFYVE,2864.836214,113756
ING1,2753.161753,103070
SMC4,1740.670327,97240
STIL,1094.797765,75232
MUC2,305.0382228,9448
PAXIP1,3731.781416,169160
PRKD3,1581.831416,69026
NEK2,2811.677591,141948
GSK3B,3718.67419,198746
CD79B,801.3502636,28786
CASP10,541.3180574,17008
HNRNPA1,656.5136984,33302
DDX17,1136.108285,43774
RPS6KB1,3169.259817,152208
CDT1,2448.53127,108378
TNFSF12,188.7918089,5398
RBBP7,2875.599415,129522
NFKB1,5476.16901,199738
TBXAS1,877.2373655,27498
ETV4,1080.829239,35736
ACIN1,2877.081971,99344
POLA2,1485.950132,78498
CDC7,6468.343301,301430
HMGB2,5781.477179,264556
